district,counties,democrat,republican,other
1,ARAPAHOE - DENVER - JEFFERSON,223620,55379,5932
2,BOULDER - CLEAR CREEK - EAGLE - GILPIN - GRAND - JACKSON - JEFFERSON - LARIMER - ROUTT - SUMMIT - WELD,238962,101170,8387
3,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DELTA - DOLORES - EAGLE - GARFIELD - GUNNISON - HINSDALE - HUERFANO - LA PLATA - LAS ANIMAS - MESA - MINERAL - MOFFAT - MONTEZUMA - MONTROSE - OTERO - OURAY - PITKIN - PUEBLO - RIO BLANCO - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,153534,161890,10930
4,ADAMS - ARAPAHOE - BACA - BENT - CHEYENNE - CROWLEY - DOUGLAS - EL PASO - ELBERT - KIOWA - KIT CARSON - LARIMER - LINCOLN - LOGAN - MORGAN - PHILLIPS - PROWERS - SEDGWICK - WASHINGTON - WELD - YUMA,140304,205301,10315
5,EL PASO,121074,148119,8894
6,ADAMS - ARAPAHOE - DENVER - DOUGLAS - JEFFERSON,166023,108660,7389
7,ADAMS - BROOMFIELD - CHAFFEE - CUSTER - EL PASO - FREMONT - JEFFERSON - LAKE - PARK - TELLER - WELD,201740,151446,10221
8,ADAMS - LARIMER - WELD,123783,113617,8068
