district,counties,democrat,republican,other
1,ARAPAHOE - DENVER - JEFFERSON,235969,46556,4171
2,BOULDER - CLEAR CREEK - EAGLE - GILPIN - GRAND - JACKSON - JEFFERSON - LARIMER - ROUTT - SUMMIT - WELD,254254,92266,6160
3,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DELTA - DOLORES - EAGLE - GARFIELD - GUNNISON - HINSDALE - HUERFANO - LA PLATA - LAS ANIMAS - MESA - MINERAL - MOFFAT - MONTEZUMA - MONTROSE - OTERO - OURAY - PITKIN - PUEBLO - RIO BLANCO - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,164056,156634,10426
4,ADAMS - ARAPAHOE - BACA - BENT - CHEYENNE - CROWLEY - DOUGLAS - EL PASO - ELBERT - KIOWA - KIT CARSON - LARIMER - LINCOLN - LOGAN - MORGAN - PHILLIPS - PROWERS - SEDGWICK - WASHINGTON - WELD - YUMA,152607,196927,9565
5,EL PASO,132452,141236,6990
6,ADAMS - ARAPAHOE - DENVER - DOUGLAS - JEFFERSON,178467,100227,5598
7,ADAMS - BROOMFIELD - CHAFFEE - CUSTER - EL PASO - FREMONT - JEFFERSON - LAKE - PARK - TELLER - WELD,219617,139248,7948
8,ADAMS - LARIMER - WELD,131059,109946,6451
