district,counties,democrat,republican,other
1,ARAPAHOE - DENVER - JEFFERSON,223595,53873,5153
2,BOULDER - CLEAR CREEK - EAGLE - GILPIN - GRAND - JACKSON - JEFFERSON - LARIMER - ROUTT - SUMMIT - WELD,237563,102086,7353
3,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DELTA - DOLORES - EAGLE - GARFIELD - GUNNISON - HINSDALE - HUERFANO - LA PLATA - LAS ANIMAS - MESA - MINERAL - MOFFAT - MONTEZUMA - MONTROSE - OTERO - OURAY - PITKIN - PUEBLO - RIO BLANCO - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,150535,165942,8240
4,ADAMS - ARAPAHOE - BACA - BENT - CHEYENNE - CROWLEY - DOUGLAS - EL PASO - ELBERT - KIOWA - KIT CARSON - LARIMER - LINCOLN - LOGAN - MORGAN - PHILLIPS - PROWERS - SEDGWICK - WASHINGTON - WELD - YUMA,135217,210198,7641
5,EL PASO,115817,150441,7612
6,ADAMS - ARAPAHOE - DENVER - DOUGLAS - JEFFERSON,163669,110220,5975
7,ADAMS - BROOMFIELD - CHAFFEE - CUSTER - EL PASO - FREMONT - JEFFERSON - LAKE - PARK - TELLER - WELD,202475,151921,8087
8,ADAMS - LARIMER - WELD,120262,116185,6268
