district,counties,democrat,republican,other
1,ARAPAHOE - DENVER - JEFFERSON,216074,52479,7536
2,BOULDER - CLEAR CREEK - EAGLE - GILPIN - GRAND - JACKSON - JEFFERSON - LARIMER - ROUTT - SUMMIT - WELD,228245,101103,11356
3,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DELTA - DOLORES - EAGLE - GARFIELD - GUNNISON - HINSDALE - HUERFANO - LA PLATA - LAS ANIMAS - MESA - MINERAL - MOFFAT - MONTEZUMA - MONTROSE - OTERO - OURAY - PITKIN - PUEBLO - RIO BLANCO - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,140222,164888,13940
4,ADAMS - ARAPAHOE - BACA - BENT - CHEYENNE - CROWLEY - DOUGLAS - EL PASO - ELBERT - KIOWA - KIT CARSON - LARIMER - LINCOLN - LOGAN - MORGAN - PHILLIPS - PROWERS - SEDGWICK - WASHINGTON - WELD - YUMA,130073,206103,11583
5,EL PASO,111491,149478,10214
6,ADAMS - ARAPAHOE - DENVER - DOUGLAS - JEFFERSON,158952,107732,8915
7,ADAMS - BROOMFIELD - CHAFFEE - CUSTER - EL PASO - FREMONT - JEFFERSON - LAKE - PARK - TELLER - WELD,194506,148894,12543
8,ADAMS - LARIMER - WELD,116792,113626,9384
