district,counties,democrat,republican,other
1,ARAPAHOE - DENVER - JEFFERSON,214106,54728,7626
2,BOULDER - CLEAR CREEK - EAGLE - GILPIN - GRAND - JACKSON - JEFFERSON - LARIMER - ROUTT - SUMMIT - WELD,231444,103250,10126
3,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DELTA - DOLORES - EAGLE - GARFIELD - GUNNISON - HINSDALE - HUERFANO - LA PLATA - LAS ANIMAS - MESA - MINERAL - MOFFAT - MONTEZUMA - MONTROSE - OTERO - OURAY - PITKIN - PUEBLO - RIO BLANCO - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,144033,164839,13191
4,ADAMS - ARAPAHOE - BACA - BENT - CHEYENNE - CROWLEY - DOUGLAS - EL PASO - ELBERT - KIOWA - KIT CARSON - LARIMER - LINCOLN - LOGAN - MORGAN - PHILLIPS - PROWERS - SEDGWICK - WASHINGTON - WELD - YUMA,133182,206744,10605
5,EL PASO,112644,150112,9629
6,ADAMS - ARAPAHOE - DENVER - DOUGLAS - JEFFERSON,160605,109666,8307
7,ADAMS - BROOMFIELD - CHAFFEE - CUSTER - EL PASO - FREMONT - JEFFERSON - LAKE - PARK - TELLER - WELD,195680,150830,11682
8,ADAMS - LARIMER - WELD,121011,112168,9604
