district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,277790,93486,31177
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,264966,164773,41731
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,151057,195966,30154
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,137784,230948,33475
5,Chaffee - El Paso - Fremont - Park - Teller,123537,212558,35735
6,Adams - Arapahoe - Douglas,191099,157118,32313
7,Adams - Jefferson,192637,147646,34297
8,,0,0,0
