district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,14702,55177,4651
2,Clear Creek - El Paso - Fremont - Park - Teller,21082,48434,6094
3,Pueblo,32592,29635,5732
4,Douglas,31660,56765,8540
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,37348,33484,6154
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,32643,42629,6661
7,Mesa,21729,49779,6146
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,33267,36681,6106
9,El Paso,26630,60043,8987
10,El Paso,24993,44077,8309
11,El Paso,27697,21681,5795
12,El Paso,22658,38570,6618
13,Weld,25478,33376,5961
14,Larimer,52850,29019,10012
15,Larimer,35952,47426,8458
16,Boulder - Denver - Gilpin - Jefferson,45913,38001,8031
17,Boulder,52906,24892,7395
18,Boulder,74058,14410,6355
19,Jefferson,39907,35884,8038
20,Jefferson,48756,40112,8747
21,Adams,31291,19708,4912
22,Jefferson,40916,33774,7385
23,Broomfield - Larimer - Weld,41319,51326,9516
24,Adams,36715,32906,6944
25,Adams,28552,27471,5178
26,Arapahoe,43998,30161,7120
27,Arapahoe,41736,36155,7517
28,Arapahoe,39102,27650,6601
29,Arapahoe,32491,22170,4556
30,Douglas,36997,45808,7730
31,Arapahoe - Denver,65348,19240,6794
32,Denver,57839,17879,6615
33,Denver,61997,9084,4680
34,Denver,54213,11473,5605
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,23535,37615,4939
