district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,246158,115634,0
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,236460,191407,0
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,149286,190413,0
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,130772,236283,0
5,Chaffee - El Paso - Fremont - Park - Teller,120102,220656,0
6,Adams - Arapahoe - Douglas,173921,178089,0
7,Adams - Jefferson,180994,161169,0
8,,0,0,0
