district,counties,democrat,republican,other
1,Adams,96558,80085,17034
2,Alamosa,3189,3046,704
3,Arapahoe,159885,117054,26109
4,Archuleta,2500,4264,575
5,Baca,283,1753,117
6,Bent,590,1188,149
7,Boulder,132334,41398,14413
8,Chaffee,4888,5391,971
9,Cheyenne,132,925,45
10,Clear Creek,2729,2575,562
11,Conejos,1771,1914,337
12,Costilla,1125,588,135
13,Crowley,339,1079,109
14,Custer,797,2061,208
15,Delta,4087,11655,1048
16,Denver,244551,62690,24611
17,Dolores,242,944,69
18,Douglas,68657,102573,16270
19,Eagle,14099,8990,2134
20,Elbert,3134,11707,1139
21,El Paso,108010,179228,31730
22,Fremont,5297,15122,1554
23,Garfield,11271,13132,2067
24,Gilpin,1634,1566,376
25,Grand,3358,4494,736
26,Gunnison,5128,3289,995
27,Hinsdale,197,339,53
28,Huerfano,1633,1883,267
29,Jackson,171,629,61
30,Jefferson,160776,138177,29930
31,Kiowa,91,728,36
32,Kit Carson,536,2967,199
33,Lake,1616,1270,313
34,La Plata,15525,12587,3038
35,Larimer,93113,83431,19437
36,Las Animas,2650,3710,433
37,Lincoln,409,1892,135
38,Logan,1851,7282,589
39,Mesa,21729,49779,6146
40,Mineral,237,344,71
41,Moffat,874,5305,346
42,Montezuma,3973,7853,1032
43,Montrose,5466,14382,1338
44,Morgan,3151,8145,664
45,Otero,2943,4928,581
46,Ouray,1697,1351,262
47,Park,3421,6135,861
48,Phillips,436,1791,105
49,Pitkin,7333,2550,640
50,Prowers,1186,3531,299
51,Pueblo,35875,36265,6506
52,Rio Blanco,436,2791,223
53,Rio Grande,2001,3085,448
54,Routt,7600,5230,1156
55,Saguache,1417,1147,271
56,San Juan,265,215,26
57,San Miguel,2975,1033,321
58,Sedgwick,267,1015,82
59,Summit,9557,5100,1517
60,Teller,3603,9745,1096
61,Washington,296,2299,138
62,Weld,46519,76652,12259
63,Yuma,726,3850,215
64,Broomfield,19731,14368,3591
