district,counties,democrat,republican,other
1,Denver - Jefferson,18855,10175,2489
2,Denver,40149,8711,4518
3,Arapahoe,23438,16157,3886
4,Denver,28301,5745,2786
5,Denver,28307,6420,3104
6,Denver,33306,10992,3049
7,Denver,29099,5339,2020
8,Denver,41198,4710,3376
9,Arapahoe - Denver,27989,11590,3599
10,Boulder,39206,6065,3360
11,Boulder,26168,14823,3932
12,Boulder,32626,12519,3916
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,33849,13206,3758
14,El Paso,13298,28556,4947
15,El Paso,12119,23757,4209
16,El Paso,13997,22865,4324
17,El Paso,11087,10442,2535
18,El Paso,21268,16343,4286
19,El Paso,11168,37564,4442
20,El Paso,15792,23892,4020
21,El Paso,9281,15809,2967
22,Jefferson,20083,24158,4235
23,Jefferson,24092,16861,4186
24,Jefferson,24987,16368,4180
25,Jefferson,24649,23706,4601
26,Eagle - Routt,21699,14220,3290
27,Jefferson,23874,23836,4671
28,Jefferson,22258,16050,3781
29,Jefferson,20738,17124,4261
30,Adams,16129,12871,2636
31,Adams,17490,14586,3278
32,Adams,15845,8524,2266
33,Boulder - Broomfield,28108,18417,4773
34,Adams,16216,13066,3012
35,Adams,20584,14719,3455
36,Arapahoe,19714,13830,3248
37,Arapahoe,22093,19333,3960
38,Arapahoe,25010,23352,4902
39,Douglas - Teller,15791,30725,3833
40,Arapahoe,20764,14630,3739
41,Arapahoe,22449,11580,2827
42,Arapahoe,16360,6182,1880
43,Douglas,20135,23177,4133
44,Douglas,18544,26789,4572
45,Douglas,17790,31627,4828
46,Pueblo,18932,19046,3379
47,Fremont - Otero - Pueblo,14670,20931,3027
48,Weld,14524,29282,4050
49,Larimer - Weld,21968,32955,5202
50,Weld,12847,12259,2939
51,Larimer,18333,26622,4824
52,Larimer,28478,17426,5223
53,Larimer,27841,13956,5366
54,Delta - Mesa,9342,28859,2969
55,Mesa,13491,24738,3518
56,Adams - Arapahoe,17793,27391,3739
57,Garfield - Moffat - Rio Blanco,12581,21228,2636
58,Dolores - Montezuma - Montrose - San Miguel,12656,24212,2760
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,22242,20566,4498
60,Chaffee - Custer - Fremont - Park,13729,26162,3405
61,Delta - Gunnison - Lake - Pitkin - Summit,24559,18236,3628
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,17263,15770,3103
63,Weld,15641,27583,4092
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,8978,27887,2555
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,7099,25975,1899
