district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,272635,102627,21270
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,261971,172217,30757
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,164035,187628,21702
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,151593,227351,20257
5,Chaffee - El Paso - Fremont - Park - Teller,131600,215774,22075
6,Adams - Arapahoe - Douglas,194299,164916,18137
7,Adams - Jefferson,194577,144805,22803
8,,0,0,0
