district,counties,democrat,republican,other
1,Denver - Jefferson,23927,11718,850
2,Denver,48292,10813,1017
3,Arapahoe,29579,18465,964
4,Denver,35962,8102,803
5,Denver,39625,9560,1038
6,Denver,39598,13317,741
7,Denver,38569,8416,921
8,Denver,48361,6311,1004
9,Arapahoe - Denver,34457,13110,1074
10,Boulder,40888,6680,840
11,Boulder,33781,16325,1127
12,Boulder,41146,14642,953
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,37528,14807,934
14,El Paso,20755,35719,1503
15,El Paso,19588,29560,1901
16,El Paso,19107,24780,1616
17,El Paso,15245,11650,1536
18,El Paso,26632,17946,1556
19,El Paso,17375,47515,1668
20,El Paso,20164,26650,1241
21,El Paso,13260,18237,1697
22,Jefferson,25373,27519,986
23,Jefferson,31471,18891,1306
24,Jefferson,31906,17790,1114
25,Jefferson,31051,27582,1081
26,Eagle - Routt,28186,16606,782
27,Jefferson,33401,28247,1249
28,Jefferson,29118,18525,1121
29,Jefferson,28183,19617,1220
30,Adams,23741,16907,1243
31,Adams,22827,17105,1298
32,Adams,21118,10352,1099
33,Boulder - Broomfield,39076,23183,1219
34,Adams,20982,15052,1208
35,Adams,27067,17311,1176
36,Arapahoe,26531,17256,1256
37,Arapahoe,28168,22398,895
38,Arapahoe,31064,26107,949
39,Douglas - Teller,22716,38422,1018
40,Arapahoe,26538,16733,1272
41,Arapahoe,27347,12769,1038
42,Arapahoe,19795,6937,934
43,Douglas,26189,26822,827
44,Douglas,27323,33775,1233
45,Douglas,26364,42333,1308
46,Pueblo,22733,21996,1279
47,Fremont - Otero - Pueblo,17972,24286,1230
48,Weld,19861,37609,1135
49,Larimer - Weld,30643,43277,1429
50,Weld,14800,13990,922
51,Larimer,24398,29222,1321
52,Larimer,36598,19764,1279
53,Larimer,30625,13703,1205
54,Delta - Mesa,12591,32731,1284
55,Mesa,18360,29003,1362
56,Adams - Arapahoe,26633,36583,1412
57,Garfield - Moffat - Rio Blanco,16648,23636,968
58,Dolores - Montezuma - Montrose - San Miguel,17005,28542,1055
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,29103,24335,1261
60,Chaffee - Custer - Fremont - Park,19082,30482,1310
61,Delta - Gunnison - Lake - Pitkin - Summit,31670,20721,1082
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,20230,18808,1042
63,Weld,23141,36444,1251
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,11561,32598,940
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,8086,29200,601
