district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,348209,115437,8965
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,321214,189651,10459
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,194201,227185,10555
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,189628,287006,9931
5,Chaffee - El Paso - Fremont - Park - Teller,173813,250782,14304
6,Adams - Arapahoe - Douglas,248379,188298,9650
7,Adams - Jefferson,255670,171133,11320
8,,0,0,0
