district,counties,democrat,republican,other
1,Adams,130409,98341,6964
2,Alamosa,3734,3800,173
3,Arapahoe,204054,136713,7888
4,Archuleta,3591,5225,204
5,Baca,329,1816,51
6,Bent,702,1488,66
7,Boulder,154552,47321,3663
8,Chaffee,6948,6344,286
9,Cheyenne,119,995,11
10,Clear Creek,3494,2835,148
11,Conejos,1975,2243,51
12,Costilla,1313,713,61
13,Crowley,456,1230,55
14,Custer,1059,2456,79
15,Delta,5764,13118,423
16,Denver,305602,80163,7337
17,Dolores,338,1064,26
18,Douglas,97553,130045,3967
19,Eagle,17902,10350,496
20,Elbert,4257,14340,361
21,El Paso,152126,212057,12718
22,Fremont,7201,17450,713
23,Garfield,14999,15027,761
24,Gilpin,2183,1867,125
25,Grand,4579,5075,224
26,Gunnison,6922,3978,242
27,Hinsdale,244,365,11
28,Huerfano,2077,2160,134
29,Jackson,164,684,19
30,Jefferson,210619,158276,8080
31,Kiowa,93,783,14
32,Kit Carson,628,3138,49
33,Lake,2297,1511,146
34,La Plata,19873,14776,805
35,Larimer,116419,94585,4929
36,Las Animas,3509,4217,200
37,Lincoln,434,2141,61
38,Logan,2117,8167,197
39,Mesa,29478,57236,2488
40,Mineral,302,437,18
41,Moffat,1120,5544,146
42,Montezuma,5538,9273,386
43,Montrose,7321,16978,557
44,Morgan,3787,9544,240
45,Otero,3428,5731,208
46,Ouray,2291,1622,76
47,Park,4800,7100,346
48,Phillips,463,1980,28
49,Pitkin,8761,2935,164
50,Prowers,1435,3966,99
51,Pueblo,42791,42098,2563
52,Rio Blanco,529,3065,61
53,Rio Grande,2502,3635,142
54,Routt,10284,6256,286
55,Saguache,1887,1405,87
56,San Juan,328,207,15
57,San Miguel,3808,1227,86
58,Sedgwick,320,1103,24
59,Summit,12175,5817,415
60,Teller,5039,11307,419
61,Washington,346,2617,33
62,Weld,63647,99424,3613
63,Yuma,652,4273,52
64,Broomfield,27447,17855,894
