district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,357845,104535,11118
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,338261,178561,14045
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,200886,224996,10343
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,198971,276309,12655
5,Chaffee - El Paso - Fremont - Park - Teller,184301,241369,15704
6,Adams - Arapahoe - Douglas,260646,175733,11391
7,Adams - Jefferson,263442,163104,12765
8,,0,0,0
