district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,18423,65095,1501
2,Clear Creek - El Paso - Fremont - Park - Teller,29458,56182,2792
3,Pueblo,38857,34607,2307
4,Douglas,47094,73760,2348
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,48838,38601,1768
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,43088,50372,2155
7,Mesa,29478,57236,2488
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,43850,41468,1912
9,El Paso,39921,76673,2761
10,El Paso,35072,48806,2927
11,El Paso,35903,23957,2784
12,El Paso,32306,45131,3080
13,Weld,31206,39654,1794
14,Larimer,63056,31104,2347
15,Larimer,46802,53736,2331
16,Boulder - Denver - Gilpin - Jefferson,58098,43241,1979
17,Boulder,69254,29016,2048
18,Boulder,78396,15776,1465
19,Jefferson,53696,40193,2242
20,Jefferson,64862,47427,2379
21,Adams,42467,24397,2237
22,Jefferson,52928,38488,2112
23,Broomfield - Larimer - Weld,61149,70573,2519
24,Adams,48791,38980,2464
25,Adams,39151,34964,2263
26,Arapahoe,55564,34396,1910
27,Arapahoe,51914,41294,1587
28,Arapahoe,50456,32096,2213
29,Arapahoe,43047,27848,2070
30,Douglas,50459,56285,1619
31,Arapahoe - Denver,77773,22475,1954
32,Denver,70621,21856,1624
33,Denver,77158,13377,1759
34,Denver,73243,16857,1751
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,28735,43571,1694
